ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","매우 스트레스를 받고 있습니다. 휴식이나 이완을 예약하는 것을 고려하세요."
732519874109,"is hungry. Prioritize meal production.","배가 고픕니다. 식사 생산을 우선시하세요."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","천의 보유량이 적습니다. 재단 우선순위를 높이는 것이 좋습니다."
732519874111,"appears to be stalled. Check resource availability and task queue.","정체된 것 같습니다. 리소스 가용성 및 작업 큐를 확인하세요."
732519874112,"Settings saved successfully.","설정이 성공적으로 저장되었습니다."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","설정 UI가 곧 출시됩니다. 명령을 사용하세요: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","모드"
732519874115,"Stress Alert Threshold","스트레스 알림 임계값"
732519874116,"Hunger Alert Threshold","공복 알림 임계값"
732519874117,"Cloth Alert Threshold","천 알림 임계값"
732519874118,"Enable Survivor Alerts","생존자 알림 활성화"
732519874119,"Enable Resource Alerts","리소스 알림 활성화"
732519874120,"Advisor (Monitoring Only)","어드바이저(모니터링만)"
732519874121,"Semi-Auto (Scaffolding)","세미-오토(스캐폴딩)"
732519874122,"Full-Auto (Scaffolding)","완전 자동(스캐폴딩)"
732519874123,"Enable Production Alerts","생산 알림 활성화"
