ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","ストレスが非常に高い。休息またはリラクゼーションのスケジュール化を検討してください。"
732519874109,"is hungry. Prioritize meal production.","お腹が空いています。食事の生産を優先させてください。"
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","布の在庫が少なくなっています。テーラリングの優先度を上げることをお勧めします。"
732519874111,"appears to be stalled. Check resource availability and task queue.","が停止しているようです。リソースの可用性とタスクキューを確認してください。"
732519874112,"Settings saved successfully.","設定が正常に保存されました。"
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","設定UIがもうすぐ来ます。コマンドを使用してください: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","モード"
732519874115,"Stress Alert Threshold","ストレスアラートしきい値"
732519874116,"Hunger Alert Threshold","空腹アラートしきい値"
732519874117,"Cloth Alert Threshold","布アラートしきい値"
732519874118,"Enable Survivor Alerts","サバイバーアラートを有効にする"
732519874119,"Enable Resource Alerts","リソースアラートを有効にする"
732519874120,"Advisor (Monitoring Only)","アドバイザー（監視のみ）"
732519874121,"Semi-Auto (Scaffolding)","セミオート（足場）"
732519874122,"Full-Auto (Scaffolding)","フルオート（足場）"
732519874123,"Enable Production Alerts","生産アラートを有効にする"
