ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","está altamente estressado. Considere agendar descanso ou relaxamento."
732519874109,"is hungry. Prioritize meal production.","está com fome. Priorize a produção de refeições."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","As reservas de tecido estão baixas. Recomenda-se aumentar a prioridade de alfaiataria."
732519874111,"appears to be stalled. Check resource availability and task queue.","parece estar paralisado. Verifique a disponibilidade de recursos e a fila de tarefas."
732519874112,"Settings saved successfully.","Configurações salvas com sucesso."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","A interface de configurações em breve. Use o comando: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Modo"
732519874115,"Stress Alert Threshold","Limite de alerta de estresse"
732519874116,"Hunger Alert Threshold","Limite de alerta de fome"
732519874117,"Cloth Alert Threshold","Limite de alerta de tecido"
732519874118,"Enable Survivor Alerts","Ativar alertas de sobrevivente"
732519874119,"Enable Resource Alerts","Ativar alertas de recursos"
732519874120,"Advisor (Monitoring Only)","Consultor (apenas monitoramento)"
732519874121,"Semi-Auto (Scaffolding)","Semi-Auto (andaime)"
732519874122,"Full-Auto (Scaffolding)","Automação completa (andaime)"
732519874123,"Enable Production Alerts","Ativar alertas de produção"
