ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","压力很大。考虑安排休息或放松。"
732519874109,"is hungry. Prioritize meal production.","很饿。优先进行膳食生产。"
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","布料储备不足。建议提高裁缝优先级。"
732519874111,"appears to be stalled. Check resource availability and task queue.","似乎停滞了。检查资源可用性和任务队列。"
732519874112,"Settings saved successfully.","设置保存成功。"
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","设置用户界面即将推出。使用命令：ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","模式"
732519874115,"Stress Alert Threshold","压力警报阈值"
732519874116,"Hunger Alert Threshold","饥饿警报阈值"
732519874117,"Cloth Alert Threshold","布料警报阈值"
732519874118,"Enable Survivor Alerts","启用生存者警报"
732519874119,"Enable Resource Alerts","启用资源警报"
732519874120,"Advisor (Monitoring Only)","顾问（仅监控）"
732519874121,"Semi-Auto (Scaffolding)","半自动（脚手架）"
732519874122,"Full-Auto (Scaffolding)","全自动（脚手架）"
732519874123,"Enable Production Alerts","启用生产警报"
