ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","очень напряжен. Рассмотрите возможность планирования отдыха или релаксации."
732519874109,"is hungry. Prioritize meal production.","голоден. Приоритизируйте производство еды."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","Запасы ткани низки. Рекомендуется увеличить приоритет пошива."
732519874111,"appears to be stalled. Check resource availability and task queue.","похоже, застрял. Проверьте доступность ресурсов и очередь задач."
732519874112,"Settings saved successfully.","Параметры сохранены успешно."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","Интерфейс параметров скоро. Используйте команду: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Режим"
732519874115,"Stress Alert Threshold","Порог оповещения о стрессе"
732519874116,"Hunger Alert Threshold","Порог оповещения о голоде"
732519874117,"Cloth Alert Threshold","Порог оповещения о ткани"
732519874118,"Enable Survivor Alerts","Включить оповещения о выживших"
732519874119,"Enable Resource Alerts","Включить оповещения о ресурсах"
732519874120,"Advisor (Monitoring Only)","Советник (только мониторинг)"
732519874121,"Semi-Auto (Scaffolding)","Полуавтоматический (каркас)"
732519874122,"Full-Auto (Scaffolding)","Полностью автоматический (каркас)"
732519874123,"Enable Production Alerts","Включить оповещения о производстве"
