ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","está muy estresado. Considere programar descanso o relajación."
732519874109,"is hungry. Prioritize meal production.","tiene hambre. Priorize la producción de comidas."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","Las reservas de tela son bajas. Se recomienda aumentar la prioridad de confección."
732519874111,"appears to be stalled. Check resource availability and task queue.","parece estar estancado. Compruebe la disponibilidad de recursos y la cola de tareas."
732519874112,"Settings saved successfully.","Configuración guardada correctamente."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","La interfaz de configuración estará disponible próximamente. Use el comando: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Modo"
732519874115,"Stress Alert Threshold","Umbral de alerta de estrés"
732519874116,"Hunger Alert Threshold","Umbral de alerta de hambre"
732519874117,"Cloth Alert Threshold","Umbral de alerta de tela"
732519874118,"Enable Survivor Alerts","Activar alertas de supervivientes"
732519874119,"Enable Resource Alerts","Activar alertas de recursos"
732519874120,"Advisor (Monitoring Only)","Asesor (solo supervisión)"
732519874121,"Semi-Auto (Scaffolding)","Semi-Auto (andamiaje)"
732519874122,"Full-Auto (Scaffolding)","Automatización completa (andamiaje)"
732519874123,"Enable Production Alerts","Activar alertas de producción"
