ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","ist stark angespannt. Erwägen Sie, Ruhe oder Entspannung einzuplanen."
732519874109,"is hungry. Prioritize meal production.","ist hungrig. Priorisieren Sie die Mahlzeitenproduktion."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","Tuchvorräte sind niedrig. Es wird empfohlen, die Priorität der Schneiderei zu erhöhen."
732519874111,"appears to be stalled. Check resource availability and task queue.","scheint steckengeblieben zu sein. Überprüfen Sie die Ressourcenverfügbarkeit und die Warteschlange der Aufgaben."
732519874112,"Settings saved successfully.","Einstellungen erfolgreich gespeichert."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","Die Einstellungs-Benutzeroberfläche kommt bald. Verwenden Sie den Befehl: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Modus"
732519874115,"Stress Alert Threshold","Stresswarnungsschwelle"
732519874116,"Hunger Alert Threshold","Hunger-Warnschwelle"
732519874117,"Cloth Alert Threshold","Tuch-Warnschwelle"
732519874118,"Enable Survivor Alerts","Überlebendenalarme aktivieren"
732519874119,"Enable Resource Alerts","Ressourcenbenachrichtigungen aktivieren"
732519874120,"Advisor (Monitoring Only)","Berater (nur Überwachung)"
732519874121,"Semi-Auto (Scaffolding)","Semi-Auto (Gerüst)"
732519874122,"Full-Auto (Scaffolding)","Vollautomatisch (Gerüst)"
732519874123,"Enable Production Alerts","Produktionsmeldungen aktivieren"
