ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","est très stressé. Envisagez de programmer du repos ou de la relaxation."
732519874109,"is hungry. Prioritize meal production.","a faim. Priorizez la production de repas."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","Les réserves de tissu sont faibles. Recommande d'augmenter la priorité de la couture."
732519874111,"appears to be stalled. Check resource availability and task queue.","semble être bloqué. Vérifiez la disponibilité des ressources et la file d'attente des tâches."
732519874112,"Settings saved successfully.","Paramètres enregistrés avec succès."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","L'interface utilisateur des paramètres arrive bientôt. Utilisez la commande: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Mode"
732519874115,"Stress Alert Threshold","Seuil d'alerte de stress"
732519874116,"Hunger Alert Threshold","Seuil d'alerte de faim"
732519874117,"Cloth Alert Threshold","Seuil d'alerte de tissu"
732519874118,"Enable Survivor Alerts","Activer les alertes de survivant"
732519874119,"Enable Resource Alerts","Activer les alertes de ressources"
732519874120,"Advisor (Monitoring Only)","Conseiller (surveillance uniquement)"
732519874121,"Semi-Auto (Scaffolding)","Semi-Auto (structure)"
732519874122,"Full-Auto (Scaffolding)","Automatisation complète (structure)"
732519874123,"Enable Production Alerts","Activer les alertes de production"
