ID,Text,Translation
732519874107,"Mod_Lina – Survivor Assistant","Mod_Lina – Survivor Assistant"
732519874108,"is highly stressed. Consider scheduling rest or relaxation.","jest bardzo zestresowany. Rozważ zaplanowanie odpoczynku lub relaksacji."
732519874109,"is hungry. Prioritize meal production.","jest głodny. Priorytetuj produkcję posiłków."
732519874110,"Cloth reserves are low. Recommend increasing tailoring priority.","Rezerwy tkaniny są niskie. Zaleca się zwiększenie priorytetu krawcowskiego."
732519874111,"appears to be stalled. Check resource availability and task queue.","zdaje się być wstrzymany. Sprawdź dostępność zasobów i kolejkę zadań."
732519874112,"Settings saved successfully.","Ustawienia zapisane pomyślnie."
732519874113,"Settings UI coming soon. Use command: ModLina.Config.SetThreshold('stress', 75)","Interfejs ustawień już wkrótce. Użyj polecenia: ModLina.Config.SetThreshold('stress', 75)"
732519874114,"Mode","Tryb"
732519874115,"Stress Alert Threshold","Próg alertu stresu"
732519874116,"Hunger Alert Threshold","Próg alertu głodu"
732519874117,"Cloth Alert Threshold","Próg alertu tkaniny"
732519874118,"Enable Survivor Alerts","Włącz alerty ocalałych"
732519874119,"Enable Resource Alerts","Włącz alerty zasobów"
732519874120,"Advisor (Monitoring Only)","Doradca (tylko monitorowanie)"
732519874121,"Semi-Auto (Scaffolding)","Semi-Auto (szachowanie)"
732519874122,"Full-Auto (Scaffolding)","Pełna automatyka (szachowanie)"
732519874123,"Enable Production Alerts","Włącz alerty produkcji"
